employee_id,employee_name,iban,subsidiary_id,pay_period,gross_amount,taxes_amount,net_amount,currency
DE003-E001,Employee 1 DE003,DE00********5728,DE003,2025-07,4256.61,1045.5,3211.11,EUR
DE003-E002,Employee 2 DE003,DE00********5982,DE003,2025-07,5298.93,1653.13,3645.8,EUR
DE003-E003,Employee 3 DE003,DE00********9199,DE003,2025-07,4659.93,1124.38,3535.55,EUR
DE003-E004,Employee 4 DE003,DE00********1653,DE003,2025-07,6057.69,1713.33,4344.36,EUR
DE003-E005,Employee 5 DE003,DE00********5102,DE003,2025-07,2603.46,552.06,2051.4,EUR
DE003-E006,Employee 6 DE003,DE00********1339,DE003,2025-07,6498.29,1781.31,4716.98,EUR
DE003-E007,Employee 7 DE003,DE00********5415,DE003,2025-07,4804.99,1378.24,3426.75,EUR
DE003-E008,Employee 8 DE003,DE00********3870,DE003,2025-07,4382.0,1188.45,3193.55,EUR
DE003-E009,Employee 9 DE003,DE00********5557,DE003,2025-07,3225.96,845.03,2380.93,EUR
DE003-E010,Employee 10 DE003,DE00********9056,DE003,2025-07,6376.22,1567.28,4808.94,EUR
DE003-E011,Employee 11 DE003,DE00********7690,DE003,2025-07,3833.23,1049.61,2783.62,EUR
DE003-E012,Employee 12 DE003,DE00********3634,DE003,2025-07,3819.21,1058.36,2760.85,EUR
DE003-E013,Employee 13 DE003,DE00********5722,DE003,2025-07,5150.33,1215.8,3934.53,EUR
DE003-E014,Employee 14 DE003,DE00********1601,DE003,2025-07,4319.3,967.66,3351.64,EUR
DE003-E015,Employee 15 DE003,DE00********6296,DE003,2025-07,2963.69,854.01,2109.68,EUR
DE003-E016,Employee 16 DE003,DE00********9431,DE003,2025-07,5799.71,1044.88,4754.83,EUR
DE003-E017,Employee 17 DE003,DE00********9889,DE003,2025-07,4347.91,815.62,3532.29,EUR
DE003-E018,Employee 18 DE003,DE00********9494,DE003,2025-07,3947.12,1128.49,2818.63,EUR
DE003-E019,Employee 19 DE003,DE00********8242,DE003,2025-07,5539.96,1155.07,4384.89,EUR
DE003-E020,Employee 20 DE003,DE00********9998,DE003,2025-07,3024.05,666.27,2357.78,EUR
DE003-E021,Employee 21 DE003,DE00********8941,DE003,2025-07,2985.7,944.2,2041.5,EUR
DE003-E022,Employee 22 DE003,DE00********4920,DE003,2025-07,5339.13,1193.32,4145.81,EUR
DE003-E023,Employee 23 DE003,DE00********1224,DE003,2025-07,4709.01,909.07,3799.94,EUR
DE003-E024,Employee 24 DE003,DE00********2858,DE003,2025-07,4345.79,853.71,3492.08,EUR
DE003-E025,Employee 25 DE003,DE00********3522,DE003,2025-07,4493.5,1259.64,3233.86,EUR
DE003-E026,Employee 26 DE003,DE00********9337,DE003,2025-07,5321.65,1267.45,4054.2,EUR
DE003-E027,Employee 27 DE003,DE00********8905,DE003,2025-07,6420.98,1374.88,5046.1,EUR
DE003-E028,Employee 28 DE003,DE00********3369,DE003,2025-07,4034.34,1246.86,2787.48,EUR
DE003-E029,Employee 29 DE003,DE00********9327,DE003,2025-07,5485.17,1092.16,4393.01,EUR
DE003-E030,Employee 30 DE003,DE00********2143,DE003,2025-07,3604.99,1047.61,2557.38,EUR
